ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-JS-SANITIZEHTML-12558112,Cross-site Scripting (XSS),sanitize-html,['<1.0.3'],npm,9 Sept 2025,5.1,CWE-79,CVE-2014-125128,9 Sept 2025,8 Sept 2025,Christian Silver
SNYK-JS-DUCKDBDUCKDBWASM-12558427,Malicious Package,@duckdb/duckdb-wasm,['>=1.29.2 <1.30.0'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-DUCKDB-12558426,Malicious Package,duckdb,['>=1.3.3 <1.3.4'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-DUCKDBNODEBINDINGS-12558425,Malicious Package,@duckdb/node-bindings,['>=1.3.3 <1.3.4-alpha.27'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-DUCKDBNODEAPI-12558424,Malicious Package,@duckdb/node-api,['>=1.3.3 <1.3.4-alpha.27'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-PREBIDJS-12558121,Malicious Package,prebid.js,['>=10.9.2 <10.10.0'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-PREBID-12558118,Malicious Package,prebid,['*'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-PREBIDUNIVERSALCREATIVE-12558117,Malicious Package,prebid-universal-creative,['>1.17.2'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-PROTOTINKERWC-12555670,Malicious Package,proto-tinker-wc,['>0.1.86'],npm,9 Sept 2025,9.3,CWE-506,,9 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-ERROREX-12554213,Malicious Package,error-ex,['>1.3.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-BACKSLASH-12552912,Malicious Package,backslash,['>0.2.0'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-CHALKTEMPLATE-12552911,Malicious Package,chalk-template,['>1.1.0 <1.1.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-HASANSI-12552910,Malicious Package,has-ansi,['>6.0.0 <6.0.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-SUPPORTSHYPERLINKS-12552909,Malicious Package,supports-hyperlinks,['>4.1.0 <4.1.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-SIMPLESWIZZLE-12552908,Malicious Package,simple-swizzle,['>0.2.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-COLORSTRING-12552907,Malicious Package,color-string,['>2.1.0'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-COLOR-12552906,Malicious Package,color,['>5.0.0'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-SLICEANSI-12552905,Malicious Package,slice-ansi,['>7.1.0 <7.1.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-ISARRAYISH-12552904,Malicious Package,is-arrayish,['>0.3.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-COLORNAME-12552903,Malicious Package,color-name,['>2.0.0'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-COLORCONVERT-12552902,Malicious Package,color-convert,['>3.1.0'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-WRAPANSI-12552901,Malicious Package,wrap-ansi,['>9.0.0 <9.0.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-ANSIREGEX-12552900,Malicious Package,ansi-regex,['>6.2.0 <6.2.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-STRIPANSI-12552899,Malicious Package,strip-ansi,['>7.1.0 <7.1.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-SUPPORTSCOLOR-12552898,Malicious Package,supports-color,['>10.2.0 <10.2.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-CHALK-12552897,Malicious Package,chalk,['>5.6.0 <5.6.2'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-ANSISTYLES-12552896,Malicious Package,ansi-styles,['>6.2.1 <6.2.3'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-DEBUG-12552895,Malicious Package,debug,['>4.4.1'],npm,8 Sept 2025,9.3,CWE-506,,8 Sept 2025,8 Sept 2025,Unknown
SNYK-JS-MATHHAROPROMPTCRAFTSANITIZE-12515408,Permissive Regular Expression,@mathharo/promptcraft-sanitize,['>=0.1.0'],npm,5 Sept 2025,6.2,CWE-625,CVE-2025-58353,5 Sept 2025,4 Sept 2025,Augusto C\xc3\xa9sar Perin
SNYK-JS-MOODLECOREFILEPICKER-12508465,Malicious Package,moodle-core_filepicker,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-PANELKEYLOGGERSIM-12508464,Malicious Package,panel-keylogger-sim,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-YUI2ANIMATION-12508463,Malicious Package,yui2-animation,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-MOODLECORETOOLTIP-12508462,Malicious Package,moodle-core-tooltip,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-YUI2TREEVIEW-12508461,Malicious Package,yui2-treeview,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-MOODLECORENOTIFICATIONDIALOGUE-12508460,Malicious Package,moodle-core-notification-dialogue,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-MOODLECORELOCKSCROLL-12508459,Malicious Package,moodle-core-lockscroll,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-RTKWAKE-12508458,Malicious Package,rtk-wake,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,4 Sept 2025,Unknown
SNYK-JS-LOGGINGWINSTON-12508456,Malicious Package,logging-winston,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,4 Sept 2025,Unknown
SNYK-JS-MOODLECOREWIDGETFOCUSAFTERCLOSE-12508453,Malicious Package,moodle-core-widget-focusafterclose,['*'],npm,5 Sept 2025,9.3,CWE-506,,5 Sept 2025,5 Sept 2025,Unknown
SNYK-JS-ASTROJSCLOUDFLARE-12496482,Server-side Request Forgery (SSRF),@astrojs/cloudflare,['>=11.0.3 <12.6.6'],npm,5 Sept 2025,6.9,CWE-918,CVE-2025-58179,5 Sept 2025,5 Sept 2025,"Willow, Monish Basaniwal"
SNYK-JS-MATHYCONSOLE-12485441,Malicious Package,mathy-console,['*'],npm,4 Sept 2025,9.3,CWE-506,,4 Sept 2025,4 Sept 2025,Unknown
SNYK-JS-TAILWINDCONFIGOVERRIDES-12485440,Malicious Package,tailwind-config-overrides,['*'],npm,4 Sept 2025,9.3,CWE-506,,4 Sept 2025,4 Sept 2025,Unknown
SNYK-JS-TAILWINDREACTICON-12485439,Malicious Package,tailwind-react-icon,['*'],npm,4 Sept 2025,9.3,CWE-506,,4 Sept 2025,4 Sept 2025,Unknown
SNYK-JS-MCPMARKDOWNIFYSERVER-12485354,Arbitrary Command Injection,mcp-markdownify-server,['*'],npm,4 Sept 2025,7.7,CWE-77,CVE-2025-58358,4 Sept 2025,4 Sept 2025,Roy Rahamim
SNYK-JS-CKEDITORCKEDITOR5CLIPBOARD-12485153,Cross-site Scripting (XSS),@ckeditor/ckeditor5-clipboard,"['>=44.2.0 <45.2.2', '>=46.0.0 <46.0.3']",npm,4 Sept 2025,2.3,CWE-79,CVE-2025-58064,4 Sept 2025,3 Sept 2025,Unknown
SNYK-JS-HONO-12485162,Use of Incorrectly-Resolved Name or Reference,hono,['>=4.8.0 <4.9.6'],npm,4 Sept 2025,8.7,CWE-706,CVE-2025-58362,4 Sept 2025,3 Sept 2025,"mwlik, imenyoo2"
SNYK-JS-ELECTRON-12485155,Arbitrary Code Injection,electron,"['<35.7.5', '>=36.0.0-alpha.1 <36.8.1', '>=37.0.0-alpha.1 <37.3.1', '>=38.0.0-alpha.1 <38.0.0-beta.6']",npm,4 Sept 2025,5.2,CWE-94,CVE-2025-55305,4 Sept 2025,3 Sept 2025,Darius Houle
SNYK-JS-JSONDIFFPATCH-10369031,Cross-site Scripting (XSS),jsondiffpatch,['<0.7.2'],npm,3 Sept 2025,2.3,CWE-79,CVE-2025-9910,3 Sept 2025,3 Mar 2025,zendive
SNYK-JS-POLYFLIOF92-12431489,Malicious Package,polyfliof92,['*'],npm,2 Sept 2025,9.3,CWE-506,,2 Sept 2025,1 Sept 2025,Unknown
SNYK-JS-NODEJSSMTP-12430876,Malicious Package,nodejs-smtp,['*'],npm,2 Sept 2025,9.3,CWE-506,,2 Sept 2025,29 Aug 2025,Unknown
SNYK-JS-TURNDOWN-12304081,Regular Expression Denial of Service (ReDoS),turndown,['*'],npm,2 Sept 2025,6.9,CWE-1333,CVE-2025-9670,2 Sept 2025,29 Aug 2025,ShiyuBanzhou
SNYK-JS-REQUESTFILTERINGAGENT-12304063,Server-side Request Forgery (SSRF),request-filtering-agent,['<2.0.0'],npm,1 Sept 2025,6.9,CWE-918,CVE-2025-57814,1 Sept 2025,25 Aug 2025,Luca Carettoni
SNYK-JS-AIONDADOTCOMMCPSSH-12301685,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),@aiondadotcom/mcp-ssh,['<1.1.0'],npm,31 Aug 2025,5.3,CWE-74,CVE-2025-9654,31 Aug 2025,29 Aug 2025,Unknown
SNYK-JS-NEXT-12299318,Server-side Request Forgery (SSRF),next,"['<14.2.32', '>=15.0.0 <15.4.2-canary.43', '>=15.4.3 <15.4.7']",npm,31 Aug 2025,8.3,CWE-918,CVE-2025-57822,31 Aug 2025,29 Aug 2025,Nicolas Lamoureux
SNYK-JS-NEXT-12301496,Use of Cache Containing Sensitive Information,next,"['<14.2.31', '>=15.0.0 <15.4.2-canary.19', '>=15.4.3 <15.4.5']",npm,31 Aug 2025,6.3,CWE-524,CVE-2025-57752,31 Aug 2025,29 Aug 2025,reddounsf
SNYK-JS-NEXT-12265451,Missing Source Correlation of Multiple Independent Data,next,"['<14.2.31', '>=15.0.0 <15.4.2-canary.19', '>=15.4.3 <15.4.5']",npm,31 Aug 2025,2.3,CWE-1293,CVE-2025-55173,31 Aug 2025,29 Aug 2025,kristianmagas
SNYK-JS-PAYLOAD-12239898,Insufficient Session Expiration,payload,['<3.44.0'],npm,29 Aug 2025,6.3,CWE-613,CVE-2025-4643,29 Aug 2025,29 Aug 2025,Arkadiusz Marta
SNYK-JS-PAYLOAD-12239899,Insufficient Session Expiration,payload,['<3.44.0'],npm,29 Aug 2025,5.3,CWE-613,CVE-2025-4644,29 Aug 2025,29 Aug 2025,Arkadiusz Marta
SNYK-JS-X402-12239904,Information Exposure,x402,['<0.5.2'],npm,29 Aug 2025,6.9,CWE-200,,29 Aug 2025,20 Aug 2025,Unknown
SNYK-JS-X402NEXT-12239903,Information Exposure,x402-next,['<0.5.2'],npm,29 Aug 2025,6.9,CWE-200,,29 Aug 2025,20 Aug 2025,Unknown
SNYK-JS-X402EXPRESS-12239902,Information Exposure,x402-express,['<0.5.2'],npm,29 Aug 2025,6.9,CWE-200,,29 Aug 2025,20 Aug 2025,Unknown
SNYK-JS-X402HONO-12239901,Information Exposure,x402-hono,['<0.5.2'],npm,29 Aug 2025,6.9,CWE-200,,29 Aug 2025,20 Aug 2025,Unknown
SNYK-JS-MUSISTUDIOCLAUDECODEROUTER-12239876,Permissive Cross-domain Policy with Untrusted Domains,@musistudio/claude-code-router,['<1.0.37'],npm,29 Aug 2025,9.3,CWE-942,CVE-2025-57755,29 Aug 2025,21 Aug 2025,ttttmr
SNYK-JS-PLONEVOLTO-12239874,Improper Handling of Exceptional Conditions,@plone/volto,"['<16.34.0', '>=17.0.0 <17.22.1', '>=18.0.0 <18.24.0', '>=19.0.0-alpha.1 <19.0.0-alpha.4']",npm,29 Aug 2025,8.7,CWE-755,CVE-2025-58047,29 Aug 2025,28 Aug 2025,Unknown
SNYK-JS-WONG2MCPCLI-12205740,OS Command Injection,@wong2/mcp-cli,['*'],npm,29 Aug 2025,5.1,CWE-78,CVE-2025-9262,29 Aug 2025,20 Aug 2025,superboy-zjc
SNYK-JS-NODEBB-12224626,SQL Injection,nodebb,['>=0.0.0'],npm,28 Aug 2025,8.7,CWE-89,CVE-2025-50979,28 Aug 2025,27 Aug 2025,Unknown
SNYK-JS-ESCAPETECHGRAPHQLARMORMAXDEPTH-12219956,Allocation of Resources Without Limits or Throttling,@escape.tech/graphql-armor-max-depth,['<2.4.2'],npm,28 Aug 2025,6.9,CWE-770,,28 Aug 2025,26 Aug 2025,Unknown
SNYK-JS-ESCAPETECHGRAPHQLARMORMAXDEPTH-12219686,Allocation of Resources Without Limits or Throttling,@escape.tech/graphql-armor-max-depth,['<2.4.2'],npm,28 Aug 2025,6.9,CWE-770,,28 Aug 2025,26 Aug 2025,M0ngi
SNYK-JS-JSPDF-12205531,Allocation of Resources Without Limits or Throttling,jspdf,['<3.0.2'],npm,27 Aug 2025,8.7,CWE-770,CVE-2025-57810,27 Aug 2025,26 Aug 2025,Aleksey Solovev
SNYK-JS-NXWORKSPACE-12205641,Embeded Malicious Code,@nx/workspace,"['=20.9.0', '=21.5.0']",npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NXNODE-12205640,Embeded Malicious Code,@nx/node,"['=20.9.0', '=21.5.0']",npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NXKEY-12205639,Embeded Malicious Code,@nx/key,['=3.2.0'],npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NXJS-12205638,Embeded Malicious Code,@nx/js,"['=20.9.0', '=21.5.0']",npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NXESLINT-12205637,Embeded Malicious Code,@nx/eslint,['=21.5.0'],npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NXENTERPRISECLOUD-12205636,Embeded Malicious Code,@nx/enterprise-cloud,['=3.2.0'],npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NXDEVKIT-12205635,Embeded Malicious Code,@nx/devkit,"['=20.9.0', '=21.5.0']",npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-NX-12205542,Embeded Malicious Code,nx,"['=21.5.0', '=20.9.0', '=20.10.0', '=21.6.0', '=20.11.0', '=21.7.0', '=21.8.0', '=20.12.0']",npm,27 Aug 2025,9.3,CWE-506,,27 Aug 2025,27 Aug 2025,"Jahred Hope, Kh\xc3\xa1nh Ho\xc3\xa0ng"
SNYK-JS-DEVALUE-12205530,Prototype Pollution,devalue,['<5.3.2'],npm,27 Aug 2025,9.3,CWE-1321,CVE-2025-57820,27 Aug 2025,26 Aug 2025,Andrey Pyatko
SNYK-JS-VITEPLUGINSTATICCOPY-12179280,Directory Traversal,vite-plugin-static-copy,"['>=0.4.3 <2.3.2', '>=3.0.0 <3.1.2']",npm,25 Aug 2025,8.9,CWE-22,CVE-2025-57753,25 Aug 2025,21 Aug 2025,Luca Carettoni
SNYK-JS-KUZU-12179283,Race Condition,kuzu,['<0.8.0'],npm,25 Aug 2025,8.2,CWE-362,,25 Aug 2025,1 Mar 2025,Unknown
SNYK-JS-ANGULARSANITIZE-12177871,Regular Expression Denial of Service (ReDoS),angular-sanitize,['*'],npm,24 Aug 2025,6.9,CWE-1333,CVE-2025-4690,24 Aug 2025,19 Aug 2025,George Kalpakas
SNYK-JS-KOA-12143256,Open Redirect,koa,['*'],npm,22 Aug 2025,5.1,CWE-601,,22 Aug 2025,22 Aug 2025,Unknown
SNYK-JS-APOLLOMS-12143053,Malicious Package,apollo-ms,['*'],npm,22 Aug 2025,9.3,CWE-506,,22 Aug 2025,22 Aug 2025,Unknown
SNYK-JS-YARN-12143051,Regular Expression Denial of Service (ReDoS),yarn,['*'],npm,22 Aug 2025,4.8,CWE-1333,CVE-2025-9308,22 Aug 2025,21 Aug 2025,mmmsssttt404
SNYK-JS-SHAJS-12089400,Function Call With Incorrect Argument Type,sha.js,['<2.4.12'],npm,21 Aug 2025,9.1,CWE-686,CVE-2025-9288,21 Aug 2025,20 Aug 2025,Nikita Skovoroda
SNYK-JS-CIPHERBASE-12084814,Function Call With Incorrect Argument Type,cipher-base,['<1.0.5'],npm,21 Aug 2025,9.1,CWE-686,CVE-2025-9287,21 Aug 2025,20 Aug 2025,Nikita Skovoroda
SNYK-JS-ELYSIAJSCORS-12084816,Origin Validation Error,@elysiajs/cors,['<1.3.1'],npm,21 Aug 2025,6.9,CWE-346,CVE-2025-50864,21 Aug 2025,20 Aug 2025,Unknown
SNYK-JS-N8NCORE-12081401,Symlink Attack,n8n-core,['<1.106.0'],npm,21 Aug 2025,7.1,CWE-59,CVE-2025-57749,21 Aug 2025,20 Aug 2025,Mahmoud Osama
SNYK-JS-DIRECTUSAPI-12079023,External Control of File Name or Path,@directus/api,['<28.0.3'],npm,21 Aug 2025,9.2,CWE-73,CVE-2025-55746,21 Aug 2025,20 Aug 2025,Zombor M\xc3\xa1t\xc3\xa9
SNYK-JS-SCREENSHOTDESKTOP-12028632,Arbitrary Command Injection,screenshot-desktop,['<1.15.2'],npm,20 Aug 2025,9.3,CWE-77,CVE-2025-55294,20 Aug 2025,19 Aug 2025,Richard Tweed
SNYK-JS-ANTHROPICAICLAUDECODE-12028699,Command Injection,@anthropic-ai/claude-code,['<1.0.4'],npm,20 Aug 2025,7.1,CWE-78,CVE-2025-55284,20 Aug 2025,18 Aug 2025,wunderwuzzi23
SNYK-JS-N8NNODESBASE-12028659,Cross-site Scripting (XSS),n8n-nodes-base,['>=1.77.0 <1.99.1'],npm,20 Aug 2025,6.3,CWE-79,CVE-2025-52478,20 Aug 2025,19 Aug 2025,"pfelilpe, Agustin Tedone, Fabrizio Faggiani, Luciano Sorrentino"
SNYK-JS-ASTROJSINTERNALHELPERS-12027670,Cross-site Scripting (XSS),@astrojs/internal-helpers,['<0.7.2'],npm,20 Aug 2025,6.3,CWE-79,CVE-2025-55303,20 Aug 2025,19 Aug 2025,"HakuPiku, Avalanche Ridings, Chris Elbring"
SNYK-JS-ASTRO-12027668,Cross-site Scripting (XSS),astro,"['<4.16.19', '>=5.0.0-alpha.0 <5.13.2']",npm,20 Aug 2025,6.3,CWE-79,CVE-2025-55303,20 Aug 2025,19 Aug 2025,"HakuPiku, Avalanche Ridings, Chris Elbring"
SNYK-JS-MERMAIDJSTINY-12027658,Cross-site Scripting (XSS),@mermaid-js/tiny,['<11.10.0'],npm,20 Aug 2025,5.1,CWE-79,CVE-2025-54880,20 Aug 2025,19 Aug 2025,Chris Grieger
SNYK-JS-MERMAID-12027657,Cross-site Scripting (XSS),mermaid,['>=11.1.0 <11.10.0'],npm,20 Aug 2025,5.1,CWE-79,CVE-2025-54880,20 Aug 2025,19 Aug 2025,Chris Grieger
SNYK-JS-MERMAID-12027649,Cross-site Scripting (XSS),mermaid,['>=10.9.0-rc.1 <11.10.0'],npm,20 Aug 2025,5.3,CWE-79,CVE-2025-54881,20 Aug 2025,19 Aug 2025,Chris Grieger
SNYK-JS-MONITORPACKAGE-12008989,Malicious Package,monitor-package,['*'],npm,19 Aug 2025,9.3,CWE-506,,19 Aug 2025,19 Aug 2025,Unknown
SNYK-JS-GROKSDK-12008988,Malicious Package,grok-sdk,['*'],npm,19 Aug 2025,9.3,CWE-506,,19 Aug 2025,19 Aug 2025,Unknown
SNYK-JS-EXPRESSGATEWAY-11959227,Cross-site Scripting (XSS),express-gateway,['*'],npm,18 Aug 2025,5.1,CWE-79,CVE-2025-9095,18 Aug 2025,17 Aug 2025,freshfish-hust
SNYK-JS-EXPRESSGATEWAY-11959225,Cross-site Scripting (XSS),express-gateway,['*'],npm,18 Aug 2025,5.1,CWE-79,CVE-2025-9096,18 Aug 2025,17 Aug 2025,freshfish-hust
SNYK-JS-MEIDCLI-11958962,Malicious Package,meid-cli,['*'],npm,18 Aug 2025,9.3,CWE-506,,18 Aug 2025,15 Aug 2025,Unknown
SNYK-JS-FLOWISECOMPONENTS-11953808,Arbitrary Code Injection,flowise-components,['*'],npm,17 Aug 2025,9.2,CWE-94,CVE-2025-55346,17 Aug 2025,14 Aug 2025,Unknown
SNYK-JS-ASTROJSNODE-11951436,Open Redirect,@astrojs/node,['<9.4.1'],npm,17 Aug 2025,6.9,CWE-601,CVE-2025-55207,17 Aug 2025,15 Aug 2025,Florian Lefebvre
SNYK-JS-SUPERSETUICORE-11953561,Cross-site Scripting (XSS),@superset-ui/core,['*'],npm,17 Aug 2025,5.1,CWE-80,CVE-2025-55672,17 Aug 2025,14 Aug 2025,Jobar
SNYK-JS-FLOWISECOMPONENTS-11953677,Command Injection,flowise-components,['>=0.0.0'],npm,17 Aug 2025,9.3,CWE-78,CVE-2025-8943,17 Aug 2025,14 Aug 2025,Unknown
SNYK-JS-BACKSTAGEPLUGINSCAFFOLDERBACKEND-11951437,Insertion of Sensitive Information into Log File,@backstage/plugin-scaffolder-backend,['<2.1.1'],npm,17 Aug 2025,2.0,CWE-532,CVE-2025-55285,17 Aug 2025,15 Aug 2025,Unknown
SNYK-JS-REDUXACE-11800949,Malicious Package,redux-ace,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,"Joker, Ccj"
SNYK-JS-RTKLOGGER-11800948,Malicious Package,rtk-logger,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,"Joker, Ccj"
SNYK-JS-NVLOREHSC-11800942,Malicious Package,nvlore-hsc,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-NAYAFLORE-11800941,Malicious Package,naya-flore,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-VERYFLOREDISC-11800940,Malicious Package,@veryflore/disc,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-NODESMSK-11800939,Malicious Package,node-smsk,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-NAYACLONE-11800938,Malicious Package,naya-clone,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-VERYNAY-11800937,Malicious Package,very-nay,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-NOUKUSEARCH-11800936,Malicious Package,nouku-search,['*'],npm,14 Aug 2025,9.3,CWE-506,,14 Aug 2025,14 Aug 2025,Kush Pandya
SNYK-JS-NGXEXTENDEDPDFVIEWER-11790310,Arbitrary Code Injection,ngx-extended-pdf-viewer,['>=19.2.0 <20.0.2'],npm,14 Aug 2025,8.8,CWE-94,CVE-2024-4367,14 Aug 2025,7 May 2024,ThomasRinsma
SNYK-JS-HFS-11787824,Use of Web Link to Untrusted Target with window.opener Access,hfs,['<0.57.10-beta1'],npm,13 Aug 2025,6.3,CWE-1022,,13 Aug 2025,12 Aug 2025,ByteAfterlife
SNYK-JS-CONTENTSECURITYPOLICYPARSER-11787770,Prototype Pollution,content-security-policy-parser,['<0.5.0'],npm,13 Aug 2025,8.8,CWE-1321,CVE-2025-55164,13 Aug 2025,12 Aug 2025,Patrick Nappa
SNYK-JS-CDKLABSCDKPROSERVELIB-11786214,Arbitrary Command Injection,@cdklabs/cdk-proserve-lib,['<0.5.1'],npm,13 Aug 2025,9.3,CWE-77,,13 Aug 2025,1 May 2025,Unknown
SNYK-JS-FEDIFYFEDIFY-11735306,Improper Authentication,@fedify/fedify,"['<1.3.20', '>=1.4.0-dev.585 <1.4.13', '>=1.5.0-dev.636 <1.5.5', '>=1.6.0-dev.754 <1.6.8', '>=1.7.0-pr.251.885 <1.7.9', '>=1.8.0-dev.909 <1.8.5']",npm,10 Aug 2025,8.7,CWE-287,CVE-2025-54888,10 Aug 2025,9 Aug 2025,Fabien O'Carroll
SNYK-JS-WORKOSINCAUTHKITREMIX-11735298,Information Exposure,@workos-inc/authkit-remix,['<0.15.0'],npm,10 Aug 2025,7.6,CWE-200,CVE-2025-55009,10 Aug 2025,9 Aug 2025,Unknown
SNYK-JS-WORKOSINCAUTHKITREACTROUTER-11735296,Information Exposure,@workos-inc/authkit-react-router,['<0.7.0'],npm,10 Aug 2025,7.6,CWE-200,CVE-2025-55008,10 Aug 2025,9 Aug 2025,Unknown
SNYK-JS-OAKSERVEROAK-11735294,Regular Expression Denial of Service (ReDoS),@oakserver/oak,['*'],npm,10 Aug 2025,6.9,CWE-1333,CVE-2025-55152,10 Aug 2025,9 Aug 2025,Alessio Della Libera
SNYK-JS-MCPPACKAGEDOCS-11520801,Arbitrary Command Injection,mcp-package-docs,['<0.1.28'],npm,8 Aug 2025,7.5,CWE-77,CVE-2025-54073,8 Aug 2025,5 Aug 2025,Alessio Della Libera
SNYK-JS-THINBUSSRP-11517088,Insufficient Entropy,thinbus-srp,['<2.0.1'],npm,8 Aug 2025,9.1,CWE-331,CVE-2025-54885,8 Aug 2025,6 Aug 2025,Sven Schindler
SNYK-JS-ASTROJSINTERNALHELPERS-11508621,Open Redirect,@astrojs/internal-helpers,['>=0.6.1 <0.7.1'],npm,8 Aug 2025,5.3,CWE-601,CVE-2025-54793,8 Aug 2025,7 Aug 2025,M.G.Farisi
SNYK-JS-ELECTRON-11502178,Use After Free,electron,['<37.2.6'],npm,7 Aug 2025,8.7,CWE-416,CVE-2025-8292,7 Aug 2025,31 Jul 2025,Unknown
