REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2017-01-01 00:00:00,2017-06-30 00:00:00,2,2
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2017-07-01 00:00:00,2017-12-31 00:00:00,3,4
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2018-01-01 00:00:00,2018-06-30 00:00:00,5,8
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2018-07-01 00:00:00,2018-12-31 00:00:00,10,16
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2019-01-01 00:00:00,2019-06-30 00:00:00,4,19
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2019-07-01 00:00:00,2019-12-31 00:00:00,1,19
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2020-01-01 00:00:00,2020-06-30 00:00:00,5,23
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2020-07-01 00:00:00,2020-12-31 00:00:00,2,24
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2021-01-01 00:00:00,2021-06-30 00:00:00,1,24
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2021-07-01 00:00:00,2021-12-31 00:00:00,2,25
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2022-01-01 00:00:00,2022-06-30 00:00:00,3,27
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2022-07-01 00:00:00,2022-12-31 00:00:00,4,29
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2023-01-01 00:00:00,2023-06-30 00:00:00,2,30
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2023-07-01 00:00:00,2023-12-31 00:00:00,5,33
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2024-01-01 00:00:00,2024-06-30 00:00:00,7,37
SNYK-DOTNET-MAGICKNETCORE-7856102,Magick.NET,https://github.com/dlemstra/Magick.NET,2024-07-01 00:00:00,2024-12-31 00:00:00,6,39
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2018-01-01 00:00:00,2018-06-30 00:00:00,0,0
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2018-07-01 00:00:00,2018-12-31 00:00:00,0,0
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2019-01-01 00:00:00,2019-06-30 00:00:00,0,0
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2019-07-01 00:00:00,2019-12-31 00:00:00,1,1
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog-enrichers-clientinfo,https://github.com/serilog-contrib/serilog-enrichers-clientinfo,2020-01-01 00:00:00,2020-06-30 00:00:00,3,3
